row_id,label,fold_id,prob_nb,prob_svm,prob_rf
16344,0,5,0.310229277878792,0.0014647403865477,0.1444965235742066
18498,0,5,0.0015961088577786,0.0005632829759838,0.1509910216674811
22646,0,2,0.0001463582489507,0.0096019208944243,0.1174970822857589
17342,1,4,0.9884978451090972,0.9996186621466014,0.9788878421711208
14857,0,5,0.0130080360856243,0.1691276358419306,0.2722679326900769
16264,0,2,0.108274886417353,0.0025194271686347,0.3211953051538316
17683,0,3,1.9410229164965687e-06,0.0021944298553903,0.1525733145836376
49886,1,1,0.9999963179607648,0.9999791572902982,0.9381043519637772
17133,0,1,2.8724354038129228e-08,0.0003239643169012,0.0842174649649485
59614,1,5,0.2067855779666872,0.2578741217831431,0.1390665353629689
60371,1,5,0.9968843890303936,0.998029214873274,0.901207139244073
51157,0,5,0.5481245361856754,0.5364459753096525,0.4067800430229986
44228,0,4,4.342805833624991e-05,0.0031090661402239,0.0712806623741238
27662,0,2,0.0016348958015666,0.0129241961906894,0.105300636984905
60614,1,4,0.9999619242801884,0.9999314960827214,0.969956003692268
40208,1,1,0.9977350791368756,0.9670838854107164,0.6255984335221877
52157,1,2,0.5127754656713567,0.93581607661975,0.6493253436113643
39126,0,3,3.198291377542327e-07,0.0004828337824243,0.0792799267013525
32560,1,4,0.9999556352319,0.999427799289113,0.9758345581007816
3529,0,2,1.6970899727862277e-06,2.748615664904382e-05,0.0802600121355525
29194,1,2,0.9998079206965204,0.9994220740029284,0.8490219222133858
33454,0,2,1.623548134555605e-08,0.0005308834212528,0.0868949840218985
49844,1,1,0.9999828300653164,0.9999739850298612,0.9501089905139852
12553,1,3,0.940971638180613,0.9907160542528628,0.9099460195458712
44670,1,3,0.979071723883415,0.813807827922969,0.6928612355745243
48832,0,5,1.0816064507881566e-06,0.0233047740604483,0.062720108482522
42146,0,2,0.9987952430190142,0.7914994955774294,0.5509845845919803
22051,0,1,5.951363923923355e-07,0.0001743912227207,0.0766640257242779
43614,0,5,0.9547517153777288,0.7866483717394113,0.8234244136553659
44117,0,2,1.23816929384554e-05,0.0014145581466496,0.006024993398993
50314,1,5,0.9999963206462086,0.999229111604639,0.9644096628063588
59306,0,1,0.0106545921575219,2.741278155430332e-05,0.0101375296267266
39011,0,3,6.689265076948122e-06,5.325662921384919e-05,0.0258839044103443
